File,Reference,NoPrompt_WER,NoPrompt_CER,WithPrompt_WER,WithPrompt_CER,WER_Improvement,CER_Improvement
domain1.wav,нейронные сети требуют больших данных для обучения,0.286,0.060,0.143,0.020,0.143,0.040
domain5.wav,рекуррентные сети работают с последовательностями ...,0.333,0.054,0.333,0.054,0.000,0.000
domain4.wav,свёрточные сети эффективны для компьютерного зрени...,0.333,0.039,0.333,0.039,0.000,0.000
domain3.wav,градиентный спуск оптимизирует параметры модели,0.400,0.043,0.400,0.043,0.000,0.000
domain2.wav,трансформеры изменили обработку естественного язык...,0.400,0.039,0.200,0.020,0.200,0.020
AVERAGE,-,0.350,0.047,0.282,0.035,0.069,0.012
